id,Pancasila,Pend Kewarganegaraan,FAAL,B. Inggris,B indonesia,Agama,Sosiologi,Filsafat Umum,Pengantar Psikologi,Psikologi Fungsi Dasar,Psikologi anak dan remaja,Filsafat dan ilmu logika,Biopsikologi,Asas Manajemen,Statitiska,Behavioristik,Psikologi fungsi mental tinggi,psikologi dewasa,humanistik dan psikologi positif,psikodiagnostika,interaksi antar pribadi,tes klasikal,ilmu pertanyaan,psikologi abnormal,observasi dalam psikologi,psikologi kognitif,teori psikologi perkembangan,interaksi kelompok dan lingkungan,P.O,Psikologi Klinis,Psikologi personel,psikologi pendidikan,masalah umum dan gangguan anak,psikometri,teknik training,antropologi budaya,psikologi eksperimen,Metodologi peneliotian,konseling,KKN,Konstruksi alat ukur,Konselor sekolah ,pengantar psikologi militer,teori psikologi sosial,Emotional self-awareness,accurate self-assessment,self-confidence,emphaty,organitational-awareness,self-control,transparency,adaptability,initiative,achievment drive,leadership,developing other,influence,conflict management,teamwork,building bonds,communication,waktu lulus
28,7,8,7,8,6,5,6,8,12,7,6,8,5,7,5,6,6,6,14,5,6,4,8,8,5,7,5,8,6,5,6,0,0,7,6,7,6,8,7,7,5,5,5,6,3,2,3,1,1,3,3,2,2,1,1,1,3,1,2,0,1,1
29,7,7,4,8,6,5,6,8,10,4,5,8,6,7,8,6,4,6,12,7,7,4,2,8,7,7,5,8,6,7,7,0,0,8,8,4,7,2,7,4,7,5,5,7,3,3,2,2,0,2,3,3,1,0,0,1,2,1,1,1,1,1
30,8,7,4,5,6,4,6,8,8,4,4,8,8,8,7,6,4,5,14,8,5,5,8,8,8,8,7,8,7,0,0,8,7,7,8,6,5,8,8,4,8,7,7,5,4,1,1,1,1,1,1,1,0,1,0,2,1,2,0,0,1,1
31,5,7,8,8,5,4,6,8,14,8,8,8,7,5,6,5,6,7,12,8,8,5,7,8,8,5,4,8,6,5,6,0,0,8,8,5,8,7,5,8,8,4,4,8,3,2,2,0,0,2,2,2,1,1,2,3,1,0,1,1,0,1
32,8,6,4,8,7,4,6,8,12,4,4,8,8,8,7,5,5,6,16,8,6,5,8,8,8,8,6,8,6,0,0,8,7,6,6,6,6,8,8,4,8,6,6,6,2,3,1,2,1,1,3,1,2,1,2,1,1,1,2,1,1,1
33,7,8,4,8,7,4,7,8,12,4,6,8,8,7,6,6,6,5,16,6,6,6,8,8,6,7,7,8,5,0,0,8,6,6,8,7,6,8,7,4,6,7,7,6,1,1,2,1,2,2,1,2,2,2,3,1,0,0,1,1,1,1
34,5,7,4,8,7,4,4,8,10,4,7,8,8,5,8,5,5,7,14,8,8,6,7,8,8,5,5,8,5,0,0,4,6,8,8,6,8,7,5,4,8,5,5,8,2,2,3,0,1,1,2,1,3,1,2,1,1,2,0,0,1,1
35,8,6,4,5,7,4,7,8,8,4,6,8,6,8,7,7,5,6,12,8,6,6,7,8,8,8,8,8,7,0,0,8,8,7,8,8,6,7,8,4,8,8,8,6,1,3,2,1,2,2,3,2,2,2,2,1,1,2,1,2,3,0
36,6,7,4,6,7,4,6,8,10,4,5,8,8,6,6,5,4,6,14,7,7,5,6,8,7,6,8,8,7,0,0,8,6,7,8,4,7,6,6,4,7,8,8,7,1,2,4,2,1,1,1,3,1,3,3,2,1,1,3,3,2,1
37,7,6,4,4,7,4,8,8,10,4,5,8,8,7,7,6,5,6,12,7,6,5,5,8,7,7,6,8,8,0,0,8,6,7,8,6,6,5,7,4,7,6,6,6,2,1,3,3,2,3,3,2,2,2,1,2,0,0,1,3,3,1
38,8,7,4,8,7,4,8,8,12,4,2,8,6,8,7,4,6,5,16,7,6,5,8,8,7,8,7,8,7,5,8,0,0,8,6,8,6,8,8,4,7,7,7,6,3,2,2,4,3,1,3,4,3,3,3,4,3,3,4,3,3,1
39,8,7,6,6,7,5,6,8,16,6,8,8,6,8,6,6,8,6,16,5,8,7,4,8,5,8,4,8,5,4,7,0,0,6,7,5,8,4,8,6,5,4,4,8,1,3,3,2,1,2,3,2,2,2,3,1,1,3,3,3,3,1
40,7,7,4,5,7,6,8,8,10,4,6,8,8,7,6,6,4,6,16,8,6,5,7,8,8,7,6,8,7,4,0,8,6,7,6,7,6,7,7,4,8,6,6,6,2,3,2,2,2,3,2,3,3,2,2,2,4,3,2,4,4,1
41,6,7,4,5,7,4,8,8,8,4,5,8,8,6,8,7,5,6,12,8,7,6,6,8,8,6,5,8,6,0,0,8,5,7,8,8,7,6,6,4,8,5,5,7,1,3,1,2,1,2,1,3,2,0,3,1,1,0,0,1,1,1
42,7,8,4,8,7,5,7,5,14,4,5,5,4,7,6,6,6,5,16,2,7,6,6,5,2,7,8,5,4,8,6,0,0,8,8,5,7,6,7,4,2,8,8,7,1,2,3,4,3,2,3,2,2,2,3,3,2,2,1,2,1,1
43,5,6,4,6,7,4,8,5,14,4,5,5,6,5,5,7,8,7,14,4,6,5,5,5,4,5,7,5,7,4,6,0,0,8,7,6,6,5,5,4,4,7,7,6,2,2,3,3,2,4,3,4,3,3,4,2,3,2,1,2,3,0
44,8,6,5,7,7,4,6,5,16,5,8,5,6,8,5,6,8,6,12,6,6,6,5,5,6,8,5,5,5,4,7,0,0,7,8,5,6,5,8,5,6,5,5,6,1,2,2,1,1,1,1,2,3,2,3,2,2,1,1,2,0,1
45,5,6,4,5,7,6,4,5,8,4,7,5,7,5,6,6,6,7,14,7,6,5,8,5,7,5,4,5,5,0,0,8,6,7,8,4,6,8,5,4,7,4,4,6,1,1,2,3,3,2,1,2,3,3,4,3,2,1,1,2,2,1
